text,label
"Mẹ ơi, con cần mẹ chuyển tiền vào tài khoản con ạ",1
Bạn chuyển tiền giúp mình vào số tài khoản 987654321,1
Gửi 300k cho tôi vào tài khoản này,1
"Anh ơi, chuyển tiền vào ví MoMo của em nhé",1
"Em cần 500k để mua sách, anh chuyển giúp em được không?",1
Chị chuyển giúp em tiền vào số tài khoản 246813579 nhé,1
Bạn chuyển 150k cho mình vào ví AirPay được không?,1
"Mình cần tiền, gửi vào tài khoản này giúp mình nhé",1
Chị chuyển tiền cho em để mua vé xem phim ạ,1
Anh gửi tiền vào ví ZaloPay của em nhé,1
Cậu chuyển tôi 200k vào tài khoản ngân hàng Techcombank nhé,1
Bạn gửi tiền vào ví Moca cho mình được không?,1
Anh chuyển 300k vào tài khoản của em nhé,1
Chị gửi 100k vào tài khoản Vietcombank của em ạ,1
Cậu chuyển tiền vào ví điện tử của tớ nhé,1
Anh gửi 250k vào tài khoản số 135792468 của em ạ,1
"Em cần 400k, anh chuyển vào tài khoản em được không?",1
Chị gửi 600k vào số tài khoản 864209753 của em nhé,1
Bạn chuyển 50k vào ví của mình nhé,1
Chị chuyển tiền giúp em vào tài khoản 1029384756 ạ,1
Anh chuyển 450k vào ví điện tử của em nhé,1
Cậu gửi 350k vào tài khoản ngân hàng Agribank của tớ nhé,1
Bạn gửi 700k vào tài khoản BIDV của mình được không?,1
Chị chuyển 800k vào số tài khoản 567890123 của em ạ,1
Anh chuyển 900k vào tài khoản VietinBank của em nh,1
"Không sao, tôi sẽ chuyển tiền sau",0
"Mình không cần tiền đâu, cám ơn bạn",0
"Tôi đã nhận được tiền rồi, không cần chuyển nữa",0
"Không cần gửi tiền, mình đã giải quyết được vấn đề",0
"Tớ không cần tiền lúc này, cảm ơn cậu",0
"Tôi sẽ tự chuyển tiền sau, không cần lo",0
"Không cần chuyển tiền, tôi đã thanh toán rồi",0
"Mình đã nhận được tiền từ người khác rồi, không cần chuyển nữa",0
"Tớ sẽ tự thanh toán, không cần cậu chuyển tiền",0
"Đừng chuyển tiền, mình đã giải quyết được rồi",0
"Không cần gửi tiền, tôi đã xong việc",0
"Tớ không cần tiền đâu, đã có người hỗ trợ rồi",0
"Tôi đã nhận được tiền từ ngân hàng, không cần chuyển nữa",0
"Mình không cần tiền, đã giải quyết được vấn đề",0
"Tôi đã nhận được tiền từ người khác, không cần chuyển nữa",0
"Tôi sẽ chuyển tiền sau, không cần gửi tiền cho tôi",0
"Không cần gửi tiền, mình đã nhận được tiền từ nguồn khác",0
"Đừng chuyển tiền, tôi đã nhận được tiền rồi",0
"Mình không cần tiền, đã có người giúp rồi",0
"Không cần gửi tiền, tôi đã thanh toán",0
"Tôi đã nhận được tiền, không cần chuyển tiền nữa",0
"Mình không cần tiền, đã giải quyết được vấn đề rồi",0
"Tớ không cần tiền đâu, đã có người chuyển rồi",0
"Không cần chuyển tiền, tôi đã nhận được tiền từ người khác",0
"Tôi đã nhận được tiền từ nguồn khác, không cần chuyển tiền nữ",0
"Chào bạn, tối qua mình đã xem một bộ phim rất hay đấy. Bạn có thích xem phim không?",0
"Hôm nay trời đẹp quá, bạn có muốn đi dạo phố cùng mình không?",0
Bạn đã ăn cơm chưa? Mình đang tính đặt một phần đồ ăn để mang về ăn tối.,0
"Chào bạn, mình mới mua một đôi giày mới rất đẹp đấy. Bạn có muốn xem không?",0
Bạn có thấy mùi nước hoa của mình hơi nặng không? Mình đang lo lắng có gì đó không ổn.,0
"Mình đang cảm thấy căng thẳng quá, bạn có thể gợi ý cho mình một số hoạt động giải trí được không?",0
"Hôm nay mình đang tìm kiếm một quán cà phê mới để thử, bạn có thể giới thiệu cho mình một quán ngon không?",0
Bạn có thấy bộ trang phục mới của mình hợp không? Mình đang muốn biết ý kiến của bạn.,0
"Chào bạn, mình mới đọc một cuốn sách rất hay đấy. Bạn có hứng thú đọc không?",0
Bạn có biết có một sự kiện âm nhạc sắp diễn ra không? Mình muốn đi cùng bạn.,0
Bạn đã nghe bản nhạc mới của ca sĩ yêu thích của mình chưa? Nó rất hay đấy.,0
"Mình muốn tìm hiểu về các hoạt động thể thao tại địa phương, bạn có thể giúp mình không?",0
Hôm nay mình có thể ghé thăm nhà bạn được không? Mình muốn xem một số sách mà bạn có.,0
Bạn có muốn đi chơi cùng mình không? Mình đang muốn tìm kiếm một địa điểm mới để khám phá.,0
Bạn có thấy mình bị mất tập trung vào công việc không? Mình đang cần một chút lời khuyên.,0
Bạn đã thử đồ ăn mới của nhà hàng mới khai trương chưa? Mình đang rất tò mò.,0
Mình đang cần một số lời khuyên về việc làm sao để nói trực tiếp với người khác về cảm xúc của mình.,0
"Chào bạn, bạn đang làm gì vậy? Mình mới đến đây.",0
"Hôm nay trời đẹp quá, bạn có muốn đi chơi không?",0
Bạn có nhớ món ăn mà mình ăn cùng nhau ở quán đó không?,0
"Mình đang cần một lời khuyên về việc chọn quà cho người yêu của mình, bạn có thể giúp mình không?",0
Bạn đã nghe bản nhạc mới của ca sĩ yêu thích của mình chưa? Nó rất hay đấy.,0
"Mình đang cần một người để nói chuyện, bạn có thể trò chuyện với mình không?",0
Bạn có thể gợi ý cho mình một số quán cà phê mới để ghé thăm không?,0
Hôm nay mình có thể ghé thăm nhà bạn được không? Mình muốn xem một số bộ phim mà bạn có.,0
Bạn có thấy mình bị mất tập trung vào công việc không? Mình đang cần một chút lời khuyên.,0
"Mình đang muốn tìm kiếm một quán ăn ngon để ăn tối, bạn có thể giới thiệu cho mình một số quán được không?",0
Bạn có muốn đi du lịch cùng mình không? Mình đang muốn tìm hiểu về một số địa điểm mới.,0
"Chào bạn, mình đang cảm thấy vui vẻ đấy. Bạn thế nào rồi?",0
Bạn có thể giúp mình tìm kiếm một địa điểm mới để đi chơi không?,0
Bạn có thấy mình cần một người để trò chuyện không? Mình đang cảm thấy cô đơn.,0
"Mình đang cần một lời khuyên về việc chọn quà sinh nhật cho người bạn của mình, bạn có thể giúp mình không?",0
Bạn có thể giúp mình tìm hiểu về một số hoạt động giải trí mới không?,0
"Chào bạn, bạn đã có kế hoạch gì cho ngày hôm nay chưa?",0
"Tôi mới xem một bộ phim rất hay, bạn có thể gợi ý cho tôi một bộ phim hay để xem không?",0
Bạn có thể chia sẻ cho tôi công thức nấu ăn của món ăn yêu thích của bạn được không?,0
"Tôi đang tìm kiếm một cuốn sách mới để đọc, bạn có thể giới thiệu cho tôi một cuốn hay không?",0
"Tôi muốn đi du lịch trong dịp lễ, bạn có thể giúp tôi tìm hiểu về một số địa điểm thú vị được không?",0
Bạn có thể chia sẻ cho tôi một bài hát hay mà bạn thường nghe không?,0
"Tôi muốn tìm hiểu về các hoạt động vui chơi giải trí tại thành phố, bạn có thể giúp tôi được không?",0
Bạn có thể giúp tôi tìm hiểu về chính sách bảo hiểm xe hơi được không?,0
"Tôi đang tìm kiếm một quán cà phê mới để thử, bạn có thể giới thiệu cho tôi một quán ngon không?",0
"Tôi muốn tìm hiểu về các bộ phim hoạt hình hay cho trẻ em, bạn có thể giúp tôi được không?",0
Bạn có thể chia sẻ cho tôi một bài viết hay về sức khỏe được không?,0
"Tôi muốn tìm hiểu về các hoạt động vận động phù hợp với tuổi của mình, bạn có thể giúp tôi được không?",0
Bạn có thể giới thiệu cho tôi một địa điểm du lịch thú vị ở Việt Nam được không?,0
"Tôi muốn tìm hiểu về công nghệ mới nhất, bạn có thể giúp tôi được không?",0
Bạn có thể chia sẻ cho tôi một chủ đề thú vị để trò chuyện không?,0
"Tôi muốn tìm hiểu về các trang phục thời trang mới nhất, bạn có thể giúp tôi được không?",0
Bạn có thể giúp tôi tìm hiểu về các sự kiện nghệ thuật đang diễn ra ở thành phố không?,0
Tôi đang tìm kiếm một người,0
"Chào bạn, bạn khỏe không?",0
"Chào bạn, tôi khỏe, còn bạn thì sao?",0
"Tôi cũng khỏe, cảm ơn. Bạn đã làm gì trong ngày hôm nay?",0
Tôi đã đi làm và sau đó mua đồ ăn tối cho gia đình. Còn bạn thì sao?,0
Tôi đã đi chơi với một vài người bạn và sau đó tới thư viện đọc sách. Bây giờ tôi đang thực hiện một số công việc nhà.,0
Nghe có vẻ thú vị đấy. Bạn có kế hoạch gì cho cuối tuần này không?,0
Tôi dự định đi picnic với gia đình vào ngày Chủ nhật. Còn bạn thì sao?,0
"Tôi chưa có kế hoạch cụ thể, nhưng tôi sẽ cùng với bạn khi bạn đi picnic vào Chủ nhật.",0
"Chào bạn, bạn đã ăn sáng chưa?",0
"Chào bạn, tôi đã ăn sáng rồi. Bạn thì sao?",0
"Tôi vừa mới ăn xong. Hôm nay là thứ hai, mà thứ ba tới là ngày sinh nhật của bạn đúng không?",0
"Ừ, đúng vậy. Tôi không nghĩ bạn nhớ được.",0
"Tất nhiên là nhớ rồi, bạn là người bạn thân của tôi mà. Bạn có kế hoạch gì cho ngày sinh nhật của mình chưa?",0
Tôi chưa nghĩ ra gì cả. Có lẽ tôi sẽ đi ăn tối với gia đình và bạn bè.,0
Đó là một ý tưởng tuyệt vời. Tôi sẽ cùng bạn đi chơi sau đó nhé.,0
"Tuyệt, tôi rất mong được đi chơi cùng bạn.",0
Bạn có muốn tôi tặng bạn món quà gì không?,0
"Không cần đâu bạn, bạn đã là món quà đủ quý giá rồi.",0
Cảm ơn bạn. Chúc mừng sinh nhật và mong bạn có một ngày sinh nhật thật tuyệt vời.,0
Bạn có thể cho mình biết số tài khoản của bạn để mình có thể chuyển khoản không?,0
Bạn muốn mình chuyển cho bạn số tiền bao nhiêu?,0
Bạn muốn mình chuyển tiền cho bạn vào thời điểm nào?,0
Bạn có thể cho mình biết thông tin ngân hàng của bạn để mình có thể chuyển khoản không?,0
"Bạn muốn mình chuyển khoản cho bạn bằng cách nào? Ví dụ như qua Internet Banking, hay qua ngân hàng?",0
Bạn muốn mình chuyển khoản cho bạn từ tài khoản nào?,0
Bạn muốn mình chuyển tiền cho bạn với mục đích gì?,0
Bạn muốn mình chuyển khoản cho bạn bằng số tiền lớn hay nhỏ?,0
Bạn có thể cho mình biết số tiền cần chuyển khoản của bạn được không?,0
Bạn có yêu cầu gì đặc biệt khi chuyển khoản không?,0
Bạn muốn mình chuyển tiền cho bạn đến ngân hàng nào?,0
ck cho t 500k nhé,1
t k cần ck nữa đâu,0
t sẽ ck sớm nhất có thể,1
"hnay k ck dc, mai ck nhé",1
"k cần ck, t đã nhận dc rồi",0
tk của m là bao nhiêu?,1
ck thêm 300k cho t nhé,1
t sẽ k ck vào tk đó,0
ck vào tk 123456789 nhé,1
hôm nay ck cho t 1 triệu dc k?,1
t đợi m ck,1
t sẽ k ck cho m,0
m cần t ck bao nhiêu?,1
t nhận dc ck của m rồi,0
ck cho t 200k nhé,1
"k cần ck nữa, đã giải quyết dc rồi",0
t k nhận dc ck của m,1
m ck chưa?,1
ck vào tk 987654321 nhé,1
t đã ck cho m rồi,0
m ck cho t bao nhiêu rồi?,1
hôm nay t k ck cho m đâu,0
t cần m ck vào tk 135792468,1
t k muốn ck cho m nữa,0
t sẽ ck 400k cho m,1
ck ngay cho t 100k nhé,1
"k cần ck, đã nhận dc tiền từ ng khác",0
t k ck cho m đâu,0
m cho t xin số tk,1
t đã ck 600k vào tk của m,0
ck thêm 700k cho t nữa,1
m đã ck chưa?,1
t k cần m ck nữa,0
t đã ck cho m đấy,0
m cần t ck vào tk nào?,1
ck cho t vào tk 246813579,1
t đợi ck của m,1
t k ck cho m nữa đâu,0
t cần m ck vào tk 123123123,1
"hôm nay k ck dc, t sẽ ck sau",1
m k cần ck cho t nữa,0
t đã ck vào tk của m rồi,0
ck cho t 800k nhé,1
t k nhận dc ck từ m,1
m ck cho t vào tk nào?,1
t k muốn m ck cho t,0
ck vào tk 111222333 nhé,1
t sẽ k ck cho m nữa,0
"t đã ck cho m, m check lại tk nhé",0
